,Unnamed: 0,TIC ID,ExoFOP-TESS,Sectors,Epoch [BJD],Period [Days],Duration [Hours],Depth [ppm],Depth [%],Rtranister [RJup],Rstar [RSun],Tmag,Delta Tmag,Paper disp (LC),Paper comm
301,312,77156829,https://exofop.ipac.caltech.edu/tess/target.php?id=77156829,"4,5",1414.7590000000782,14.775648,0.059166666666666666,1050.0,0.1,0.1,0.36,10.4276,7.45,1,
302,313,77228304,https://exofop.ipac.caltech.edu/tess/target.php?id=77228304,"4,5",1410.9509999998845,0.336826,0.03666666666666667,18251.0,1.83,1.36,1.0,15.7298,4.35,1,"LOWSNR,UC,Vshape,P-short"
303,314,77253676,https://exofop.ipac.caltech.edu/tess/target.php?id=77253676,"4,5",1418.9290000000037,8.607221000000001,0.13833333333333334,467.0,0.05,0.2,1.02,9.3553,8.33,1,SPR
304,315,77527511,https://exofop.ipac.caltech.edu/tess/target.php?id=77527511,8,1518.2709999997169,0.77864,0.04125,1520.0,0.15,0.78,2.19,9.94921,7.05,1,edge of CCD
307,318,78154865,https://exofop.ipac.caltech.edu/tess/target.php?id=78154865,8,1517.4280000003055,0.49382600000000004,0.04833333333333333,311.0,0.03,0.17,1.09,8.9225,8.77,0,"sync,LOWSNR,UC,Vshape,P-short"
309,320,79292541,https://exofop.ipac.caltech.edu/tess/target.php?id=79292541,"6,7",1470.7369999997318,2.2772799999999997,0.06874999999999999,1700.0,0.17,0.95,2.63,9.4247,6.92,0,"pCO,FSCP, sync"
311,322,79748331,https://exofop.ipac.caltech.edu/tess/target.php?id=79748331,13,1656.6699999999255,6.441821,0.08041666666666666,1201.0,0.12,0.24,0.8,10.0059,7.30,1,"SPR, multi resonance or FP"
312,323,79748331,https://exofop.ipac.caltech.edu/tess/target.php?id=79748331,13,1664.4909999999218,12.226322999999999,0.09250000000000001,1289.0,0.13,0.24,0.8,10.0059,7.22,1,"SPR, multi resonance or FP"
313,324,80166433,https://exofop.ipac.caltech.edu/tess/target.php?id=80166433,13,1656.1490000002086,1.5460200000000002,0.035416666666666666,440.0,0.04,0.54,2.5,8.0465,8.39,0,"pSS (check single transits pdf page), UC"
314,327,80439101,https://exofop.ipac.caltech.edu/tess/target.php?id=80439101,2,1361.0580000001937,7.422289999999999,0.26791666666666664,44930.0,4.49,0.0,0.0,12.6435,3.37,0,"sync,pCO"
315,328,81212286,https://exofop.ipac.caltech.edu/tess/target.php?id=81212286,20,1843.027999999933,0.685081,0.04416666666666667,2676.0,0.27,0.18,0.38,12.507,6.43,1,"UC,LOWSNR,FSCP"
316,329,81247740,https://exofop.ipac.caltech.edu/tess/target.php?id=81247740,23,1929.4429999999702,1.36416,0.04666666666666667,6740.0,0.67,2.04,1.08,10.6503,5.43,1,WE
317,330,81419525,https://exofop.ipac.caltech.edu/tess/target.php?id=81419525,"8,9",1518.3810000000522,1.54959,0.11958333333333333,3690.0,0.37,1.24,1.58,9.5518,6.08,0,"Vshape,pCO"
319,333,82128636,https://exofop.ipac.caltech.edu/tess/target.php?id=82128636,9,1543.936999999918,7.47428,0.06458333333333334,1595.0,0.16,0.68,1.56,8.8252,6.99,1,
320,334,82308728,https://exofop.ipac.caltech.edu/tess/target.php?id=82308728,22,1904.9259999999776,9.497,0.09458333333333334,660.0,0.07,0.19,0.77,6.9859,7.95,1,HD 97658 b
321,335,82362447,https://exofop.ipac.caltech.edu/tess/target.php?id=82362447,8,1517.5609999997541,2.819817,0.2754166666666667,183631.0,18.36,2.03,0.44,15.2474,1.84,0,"pCO, TD, Vshape"
322,337,83092282,https://exofop.ipac.caltech.edu/tess/target.php?id=83092282,8,1520.6929999999702,6.4020529999999995,0.16125,3893.0,0.39,0.84,1.41,8.5615,6.02,1,
324,339,85031598,https://exofop.ipac.caltech.edu/tess/target.php?id=85031598,19,1816.4120000000112,1.155109,0.06166666666666667,777.0,0.08,1.05,2.99,7.3543,7.77,1,pVshape
325,340,85242435,https://exofop.ipac.caltech.edu/tess/target.php?id=85242435,20,1844.1110000000335,9.606666,0.16375,1588.0,0.16,0.4,1.09,9.526819999999999,7.00,1,LCMOD
326,341,85293053,https://exofop.ipac.caltech.edu/tess/target.php?id=85293053,21,1871.7560000000522,8.05147,0.14208333333333334,590.0,0.06,0.22,1.0,9.3523,8.07,1,UC
327,342,86280613,https://exofop.ipac.caltech.edu/tess/target.php?id=86280613,"20,21",1851.589999999851,9.5727,0.10458333333333332,3430.0,0.34,1.85,1.83,9.5173,6.16,1,"LCMOD,pCO"
